"Name_Z","Name_A","Location_A","Location_B","Photo_Film","Bunch_Pattern","Notes","Source","Year","Shots_Min","Shots_Max","Shots_Tot","Len_Min","Len_Max","Len_Tot","Time_A","B1","B2","B3","Time_Z","Bunches","Quality"
"Holland","SM","Bridge","Elm Street",,"All","JFK hit on 1st shot, 2nd shot about 1 second later, head shot the last shot.  Shots 3/4 on top of each other.","6H243, Rush to Judgment, Six Seconds In Dallas","1964","4","4","4",,,"0","100","2","2","0","100","2","100"
"Hollies","Mary","TSBD","Floor 4",,,"No timing info.","22H652","1964","3","3","3",,,"0","0",,,,"0","0","0"
"Hollingsworth","Robert","Motorcade","Bus #?",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Holmes","Harry","Terminal Annex",,,,"No timing info other than 20 seconds for the whole shooting. Later in 1998 he gives more detail, but this seems to be asbsent in the early statements and interviews when directly asked.","7H291","1964","3","3","3","20","20","20","0",,,,"0","0","0"
"Holt","Gloria","Elm Street","Grassy Knoll",,,"No shot number or timing info.","22H652","1964",,,,,,"0","0",,,,"0","0","0"
"Hooker","Jeanette","Criminal Courts","Floor 2",,"None","Car in line with Thornton Freeway sign at first shot. No other timing info","24H533","1964","3","3","3",,,"0","100","1","1","1","50","0","75"
"Hopson","Yola","TSBD","Floor 4",,,"2 or more shots.","24H521, 22H653","1963","2","2","2",,,"0","0",,,,"0","0","0"
"Hudson","Emmett","Grassy Knoll","Steps",,"None","2nd shot = head shot","19H481, CD5, 7H559","1963","3","3","3",,,"0","100","1","1","1","100","0","100"
"Hughes","Carol","TSBD","Floor 2",,,"No shot info.","22H654","1964",,,,,,"0","0",,,,"0","0","0"
"Hughes","Robert","Main Street","Houston Street","Film",,"First shot 5 seconds after stopping filming","Pictures of the Pain p.265","1963","2","2","2",,,"0","100","0","1","1","100","0","100"
"Hutton","Bill","Main Street","Houston Street",,,"No witness data. Standing with Seymour Weitzman.","7H106","1964",,,,,,"0","0",,,,"0","0","0"
"Inmon","HA","Houston Street","Main Street to Elm Street",,,"No witness data.","20H494","1963",,,,,,"0","0",,,,"0","0","0"
"Jacks","Hurchel","Motorcade","VP Car",,,"1st shot after making the turn. No timing on the final 2 shots.","18H801","1963","3","3","3",,,"0","100","1","1.5","0.5","50","1","75"
"Jackson","Douglas","Motorcade","Presidential Motorcycles",,"?","1st shot heard. 2nd shot Connally reacted (""jerk back""). 3rd = head shot.","Note written on day, recalled Kennedy Assassination Tapes, 1979","1963","3","3","3",,,"0","100","1","2","0","100","1","100"
"Jackson","Robert","Motorcade","Camera Car #3",,"End","5-8 secs total shot time. Shot 1 to 2 was 3-4 secs (maybe more), shot 2 to 3 was 2 secs. 1st shot when car is half way: Mc63 = Z313","2H158","1964","3","3","3","5","8","6.5","50","0","1","2","100","1","75"
"Jacob","Stella","Elm Street","Grassy Knoll",,,"No shot number mentioned","22H655","1964",,,,,,"0","0",,,,"0","0","0"
"Jarman","James","TSBD","Floor 5",,"End","People fell to the ground after the 2nd shot, the 3rd shot was ""right behind the second one"". No exact timing for 1st shot.","3H198","1964","3","3","3",,,"0","50","1","1","1","50","0","50"
"Johns","Thomas","Motorcade","Secret Service #2",,,"2 shots about 2-3 secs apart","18H773","1963","2","2","2","2","3","2.5","0",,,,"0","0","0"
"Johnson","Bobby Joe","Criminal Courts","Jail",,,"No shot info.","Memo from FBI clerk T. Pat Reed to SAIC Dallas","1975",,,,,,"0","0",,,,"0","0","0"
"Johnson","Clemon","Bridge","Elm Street",,,"Heard shots (plural), no number given","22H836","1964",,,,,,"0","0",,,,"0","0","0"
"Johnson","Ed","Motorcade","Bus #1",,,"No shot info.","Fort Worth Star Telegram 1963-11-23","1963",,,,,,"0","0",,,,"0","0","0"
"Johnson","Judy","Elm Street","TSBD",,,"No timing info.","22H656","1964","3","3","3",,,"0","0",,,,"0","0","0"
"Johnson","Lady Bird","Motorcade","VP Car",,"End","1st shot as car had turned corner, then a pause, followed by 2 rapid shots.","5H565","1963","3","3","3",,,"0","100","1","2","0","100","1","100"
"Johnson","Lyndon","Motorcade","VP Car",,,"Few details on explosions after the first","5H562","1963","3","3","3",,,"0","100","1",,,"0","0","50"
"Johnson","RC","Motorcade","Western Union Car",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Jones","Carl Edward","TSBD","Steps",,,"No timing info.","22H657","1964","3","3","3",,,"0","0",,,,"0","0","0"
"Jones","CM","Houston Street","Criminal Courts",,"End","3-5 seconds between first shot and then 2 shots, no exact timing of the first shot.","19H512","1963","3","3","3",,,"0","50","1","2","0","50","1","50"
"Kantor","Seth","Motorcade","Bus #2",,,"Heard the last 2 shots, but said 3 in earlier statements after people told him 3 were fired.","15H74, CD7","1963","2","2","2",,,"0","0",,,,"0","0","0"
"Kellerman","Roy","Motorcade","Presidential Limo",,"End","1st shot made Kellerman look back and see JFK slump. 3-4 seconds later he turned back to the front, and a flurry of shots came in while he was speaking (seemingly Z280-Z310 by looking at the Zapruder film).","CD7 & 24H724","1963","3","3","3",,,"0","100","1","2","0","100","1","100"
"Kelly","Sam","Terminal Annex",,,,"No shot info.","11-21-93 article in the Bonham Daily Favorite","1993",,,,,,"0","0",,,,"0","0","0"
"Kendrick","Daniel","Elm Street","Grassy Knoll",,,"No shot info.","11-22-13 BBC US and Canada article by Mark Mardell","2013",,,,,,"0","0",,,,"0","0","0"
"Kennedy","Jacqueline","Motorcade","Presidential Limo",,,"Various different accounts given, but generally vague (probably due to the stress of the situation).","Interview with Theodore White, 5H180","1963","3","3","3",,,"0","0",,,,"0","0","0"
"Kent","Carleton","Motorcade","Bus #?",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Kiker","Douglas","Motorcade","Bus #1",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Kilduff","Malcolm","Motorcade","National Press Pool",,"End","At least 5 seconds between first 2 shots, shorter gap to third.","Washington Star","1966","3","3","3","5","8","6.5","50","1","1","1","50","0","50"
"Kinch","Sam","Motorcade","Bus #?",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"King","WK","Main Street","Houston Street",,,"Shots (plural) no number given.","22H601","1964",,,,,,"0","0",,,,"0","0","0"
"Kinney","Samuel","Motorcade","Secret Service #1",,"End","JFK hit after the 1st shot.  2nd/3rd shot was head shot, not specified which in the on the day note.","18H731,732","1963","3","3","3",,,"0","100","1","2","0","100","1","100"
"Kivett","Jerry","Motorcade","Secret Service #2",,"None","Crowd scattered on 2nd shot.  No other comments about timing.","18H778","1963","3","3","3",,,"0","100","1","1","1","100","0","100"
"Knowles","CA","Stemmons Freeway","Commerce Street",,,"No witness data.","20H494, 20H638","1963",,,,,,"0","0",,,,"0","0","0"
"Kounas","Dolores","Elm Street","Reflecting Pool",,"None","Equally spaced with a few seconds between the shots. 2nd shot resulted in people running and screaming.","22H846, 22H659","1963","3","3","3",,,"0","100","1","1","1","100","0","100"
"Kraft","Gene","Motorcade","Bus #?",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Lacy","James","Main Street","Mullendone's Cafeteria",,,"No shot info.","CD897","1964",,,,,,"0","0",,,,"0","0","0"
"Landis","Paul","Motorcade","Secret Service #1",,"None","JFK moved after the first shot. 4-5 seconds total shot time. Head shot 2nd shot.","18H758","1963","2","2","2","4","5","4.5","100","1","1","0","100","0","100"
"Lawrence","Fred","Motorcade","Bus #?",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Lawrence","Patricia","Elm Street","TSBD",,"End","First shot was fired, then a pause, and two shots on top of each other.","22H841, JFK: The Lost Bullet","1963","3","3","3",,,"0","100","1","2","0","100","1","100"
"Lawrence","Perdue","Motorcade","Advance Car",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Lawson","Winston","Motorcade","DPD Lead Car",,"End","Timing isn't exact but they were approaching the bridge at the first shot (as agreed with others in the car). The last 2 shots were more rapid than the first 2.","17H628","1963","3","3","3",,,"0","50","0","1","2","50","1","50"
"Lewis","Carlus E","Houston Street","Commerce Street",,,"No shot info.","22H602, 20H493","1964",,,,,,"0","0",,,,"0","0","0"
"Lewis","Clinton Lummie","Main Street","Dallas Sheriff",,,"No timing info.","19H526","1963","3","3","3",,,"0","0",,,,"0","0","0"
"Lewis","Roy","TSBD","Steps",,,"No timing info.","CD205, 22H661","1964","3","3","3",,,"0","0",,,,"0","0","0"
"Lincoln","Evelyn Maurine","Motorcade","Bus #3",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Linkins","Carroll","Motorcade","Bus #?",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Lisagor","Peter","Motorcade","Bus #1",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Lomax","James A","Railroad Bridge","Stemmons Freeway",,,"No witness data.","20H493","1963",,,,,,"0","0",,,,"0","0","0"
"Lovelady","Billy","TSBD","Steps",,"End","2nd/3rd shots bunched, but no info relating to start point.","24H214","1963","3","3","3",,,"0","50","1","2","0","50","1","50"
"Lumpkin","George L","Motorcade","Pilot Car",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Lumpkin","William G","Motorcade","Lead Motorcycles",,,"Claims to have witnessed shooting but I am doubtful as he appears too far away in the frames of the Bell film.","The Kennedy Assassination Tapes, 1979","1979","3","3","3",,,"0","0",,,,"0","0","0"
"Mabra","WW","Houston Street","Criminal Courts",,,"No timing info.","19H541","1963","3","3","3",,,"0","0",,,,"0","0","0"
"MacKaye","William","Motorcade","Bus #?",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"MacNeil","Robert","Motorcade","Bus #1",,,"No timing info.","NBC report","1963","3","3","3",,,"0","0",,,,"0","0","0"
"Mahon","George","Motorcade","Congressman #1",,,"Shots (plural) fired, no number","Interview with the Johnson Library","1972",,,,,,"0","0",,,,"0","0","0"
"Manning","Robert","Motorcade","Bus #1",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Martin","BJ Billy Joe","Motorcade","Presidential Motorcycles",,"?","JFK was leaning forward after the 1st shot.  No timing info on the trailing shots","6H289 & Clay Shaw trial 1969","1964","3","3","3",,,"0","100","1","1.5","0.5","50","1","75"
"Martin","John","Houston Street","Reflecting Pool","Film","End","1st shot was followed a few seconds later by 2 more rapid shots.","CD897, 1979 interview with Dave Hawkins","1964","3","3","3",,,"0","100","1","2","0","50","1","75"
"Mathis","James V","Motorcade","Bus #1",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"May","William","Motorcade","Bus #?",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"McBride","Glen C","Motorcade","Advance Motorcycles",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"McCully","Judith","TSBD","Steps",,,"No shot info.","22H663","1964",,,,,,"0","0",,,,"0","0","0"
"McCurley","AD","Main Street","Dallas Sheriff",,,"No timing info.","19H514","1963","3","3","3",,,"0","0",,,,"0","0","0"
"McHugh","Godfrey","Motorcade","VIP Car",,"None","Shots at regular intervals.  No timing info about start or finish.","Interview for Kennedy Library","1978","3","3","3",,,"0","0",,,,"0","0","0"
"McIntire","Mel","Elm Street","Stemmons Freeway","P 1-2",,"No witness data.",,,,,,,,"0","0",,,,"0","0","0"
"McIntyre","William","Motorcade","Secret Service #1",,"End","5 seconds in total for shots. 3rd shot hit JFK in head.  2nd shot just before.","18H747","1963","3","3","3","5","5","5","100","1","2","0","100","1","100"
"McKinnon","Cheryl","Elm Street","Grassy Knoll",,,"No timing info.","1983-11-22 article in the San Diego Star News","1983",,,,,,"0","0",,,,"0","0","0"
"McLain","HB","Motorcade","Forward Mid Motorcycles",,,"Only heard a single shot when halfway along Houston Street.","HSCA","1977","1","1","1",,,"0","0",,,,"0","0","0"
"McVey","Oscar","Elm Street","Bridge",,,"No timing info.","CD5","1963","2","3","2.5",,,"0","0",,,,"0","0","0"
"Means","Marianne","Motorcade","Bus #1",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Miller","Austin","Bridge","Elm Street",,"?","1st shot was fired then a few seconds later 2 more were fired. No exact timings of the gap between the final shots.","6H225","1964","3","3","3",,,"0","100","1","2","0","100","1","100"
"Millican","AJ","Elm Street","Grassy Knoll",,"All","First shot fired just after the limo passed him. No other timings given.","19H486","1963","8","8","8",,,"0","100","3","2","3","50","3","75"
"Mitchell","Mary","Elm Street","Houston Street",,"End","4-5 seconds between 1st/2nd shots, 3rd very rapidly after that.","CD329, 6H175","1964","3","3","3","6","7","6.5","100","1","2","0","50","1","75"
"Mitchell","Willie","Criminal Courts","Jail",,,"No witness data. Testimony of Stanley Kaufman.","15H513-538","1964",,,,,,"0","0",,,,"0","0","0"
"Molina","Joe","TSBD","Steps",,"End","Shots 2/3 closer than 1/2. No other timing info.","22H664, 6H371","1964","3","3","3",,,"0","50","1","2","0","50","1","50"
"Mooney","Luke","Main Street","Dallas Sheriff",,,"No timing info.","19H528","1963","3","3","3",,,"0","0",,,,"0","0","0"
"Mooneyham","Lillian","Criminal Courts","Floor 2",,"End","JFK slumped after 1st shot. Last 2 shots closer together than the first 2.","24H531","1964","3","3","3",,,"0","100","1","2","0","50","1","75"
"Moore","Anne Ruth","Elm Street","Grassy Knoll",,"None","JFK leaned over after 1st shot. Mrs Kennedy jumped up after 2nd shot. Screaming started after 2nd shot.","HSCA","1977","2","2","2",,,"0","50","1","1","0","50","0","50"
"Moore","TE","Elm Street","Houston Street",,"?","JFK slumped after 1st shot by the Thornton freeway sign. No info on other shots as the limo was out of sight.","24H534","1964","3","3","3",,,"0","100","1","2","0","50","1","75"
"Moorman","Mary","Lawn","Elm Street","P 3,5","?","First shot was the head shot, another shot was fired after.  No precise timings, but final shot was after the head shot, with 3-4 in total: ""There was three or four real close together""","19H487, TV/newspaper interviews on the day","1963","3","4","3.5",,,"0","100","0","1","2","100","1","100"
"Muchmore","Marie","Peristyle","Reflecting Pool","Film",,"Panicked after the shots were fired. First one sounded like a firecracker but the following 2 were shots.  No timing info.","CD7 & CD735","1964","3","3","3",,,"0","0",,,,"0","0","0"
"Mudd","F Lee","Grassy Knoll","Steps",,"Start","2 shots less than a second apart, maybe a third after. No timing. People dropped to the floor after the first 2 shots.","24H538","1964","2","3","2.5",,,"0","100","0","2","0.5","100","1","100"
"Mumford","Doris","Grassy Knoll","Elm Street",,,"No timing info. Possibly in Weigman film as identified by daughter.","1963-11-23 article in the New York Herald-Tribune.","1963",,,,,,"0","0",,,,"0","0","0"
"Murphy","Joe E","Stemmons Freeway","Elm Street",,,"No timing info.","6H259, 22H602, 20H638","1964","3","3","3",,,"0","0",,,,"0","0","0"
"Murphy","Thomas","Bridge","Elm Street",,"Start","2 shots fired and then JFK & JBC slumped. No other shot or timing info.","22H835","1964","2","2","2",,,"0","100","2","0","0","0","1","50"
"Neal","Bruce","Motorcade","Bus #?",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Nelson","Ruth Smith","TSBD","Floor 4",,,"No shot info.","22H665","1964",,,,,,"0","0",,,,"0","0","0"
"Nelson","Sharon","Elm Street","Grassy Knoll",,,"nee Simmons, no shot numbers mentioned","22H665","1964",,,,,,"0","0",,,,"0","0","0"
"Newman","Clayton","Elm Street","Grassy Knoll",,,"No witness data.",,,,,,,,"0","0",,,,"0","0","0"
"Newman","Gayle","Elm Street","Grassy Knoll",,"Start","1st shot hits JFK, 2nd sound occurs as JBC falls (both shots ""in succession"" followed by a pause). Then the head shot, with a possible final shot several seconds after the head shot.","24H218, 22H842","1963","3","4","3.5",,,"0","100","2","1","1","100","1","100"
"Newman","Jean","Elm Street","Grassy Knoll",,,"Only 2 shots heard but more may have been fired. JFK jumped after the first shot, and then slumped after the second shot.","19H489, 22H843","1963","2","2","2",,,"0","100","1","1","0","100","0","100"
"Newman","William","Elm Street","Grassy Knoll",,"Start","First 2 shots fired in rapid succession and JFK jumps up. Later the head shot when car was in front of him.","Interview on day with Jay Watson, 19H490, 22H842","1963","2","2","2",,,"0","100","2","1","0","100","1","100"
"Newman","William Jr","Elm Street","Grassy Knoll",,,"No witness data.",,,,,,,,"0","0",,,,"0","0","0"
"Nix","Orville","Main Street","Lawn","Film","?","3rd shot hit JFK in his film, 2 shots earlier before he starts his film.","24H539","1963","3","3","3",,,"0","100","1.5","1.5","0","100","2","100"
"Norman","Harold","TSBD","Floor 5",,"None","Between 1st and 2nd shots looked up from outside the window.  Describes conversation between shots suggesting several seconds gaps.","CD5 p26, 3H191","1963","3","3","3",,,"0","100","1","1","1","50","0","75"
"O'Brien","Lawrence","Motorcade","Congressman #1",,"None","Mentions a 4th shot despite asserting only 3. 1st shot as car was turning onto Houston from Main Street: Mc63 suggests this was Z180-Z250. Shots were evenly spaced as he recalls conversations between each shot.","7H463","1964","3","3","3",,,"0","100","1","1","1","50","0","75"
"O'Donnell","Kenneth","Motorcade","Secret Service #1",,"Start","5-6 secs for all shots. 1st & 2nd almost simultaneous","7H748","1964","3","3","3","5","6","5.5","100","2","1","0","100","1","100"
"Orr","Maurice","Elm Street","Grassy Knoll",,,"Heard 2-5 shots. No timing info.","Arch Kimbrough at 1:00 PM on the day of the shooting","1963","2","5","3.5",,,"0","0",,,,"0","0","0"
"Otten","Alan","Motorcade","Bus #1",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Oxford","JL","Main Street","Dallas Sheriff",,,"Heard shots (plural) but no number.","19H530","1963",,,,,,"0","0",,,,"0","0","0"
"Parker","Roberta","Elm Street","Reflecting Pool",,,"1st shot when car had just passed her. No timing of final shot(s).","CD205","1963","3","3","3",,,"0","100","1",,,"0","0","50"
"Paschall","Patsy","Old Courthouse","Floor 4","Film","End","120 or 012: I heard a like pow, and a pause, and pow pow.","KDFW-TV https://www.youtube.com/watch?v=-kL6GiFZywA","1995","3","3","3",,,"0","50","0.5","1.5","0.5","50","1","50"
"Paternostro","Samuel","Criminal Courts","Floor 2",,"End","JFK grabbed his head after 1st shot. 4-5+ seconds between first 2 shots, then a third rapidly after the 2nd.","24H536 & Dallas Morning News","1964","3","3","3","6","7","6.5","100","1","2","0","50","1","75"
"Patman","William","Motorcade","Congressman #3",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Perry","James","Motorcade","Bus #1",,,"011 or 002: Bus was just about to turn right off Main Street when the 1st shot was fired: Mc63 suggests this was Z313.  2 or 3 seconds between shots.","Block News Alliance","2013","2","2","2","2","3","2.5","50","0","0.5","1.5","50","1","50"
"Philips","JM","Motorcade","DPD Rear Car",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Pierpoint","Bob","Motorcade","Bus #1",,,"No timing info.","letter to Barbie Zelizer","1963","3","3","3",,,"0","0",,,,"0","0","0"
"Piper","Eddie","TSBD","Floor 1",,"None","Evenly spaced, with several seconds between shots, as per 1964 interview recollections. No timing info on start or end of sequence.","19H499, 22H668, 6H382","1964","3","3","3",,,"0","50","1","1","1","50","0","50"
"Player","Charles","Criminal Courts","Bill Decker Office",,,"No timing info.","19H515","1963","3","3","3",,,"0","0",,,,"0","0","0"
"Potter","Nolan","Bridge","Elm Street",,,"No timing info.","22H834","1964","3","3","3",,,"0","0",,,,"0","0","0"
"Potter","Philip","Motorcade","Bus #?",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Powell","James","Elm Street","County Records",,,"Heard two shots fired and possibly a third. No timing info.","FBI Report, CD 206, p20","1964","2","3","2.5",,,"0","0",,,,"0","0","0"
"Powell","John","Criminal Courts","Jail Floor 6",,,"Vague and late.","11-19-78 article in the Dallas Morning News","1978",,,,,,"0","0",,,,"0","0","0"
"Powers","David","Motorcade","Secret Service #1",,,"JFK hit after 1st shot. Final shot is JFK head shot all within 5-6 seconds. No spacing info.","7H473","1964","3","3","3","5","6","5.5","100","1","2","0","100","1","100"
"Price","JC","Terminal Annex","Roof",,,"JFK hit after 1st shot. No timing info.","19H492, CD5 p.62","1963","5","5","5",,,"0","100","1",,,"0","0","50"
"Purcell","Graham","Motorcade","Congressman #3",,"?","1st shot followed by pause, then 2 more shots were fired.","Ohmynews article","2007","3","3","3",,,"0","0",,,,"0","0","0"
"Puterbaugh","Jacob L","Motorcade","Pilot Car",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Quinn","Mike","Motorcade","Local Press Pool",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Rackley","George W","Houston Street","Ross Street",,,"Didn't hear any shots. Was with James Romack.","6H275, 6H279","1964",,,,,,"0","0",,,,"0","0","0"
"Read","Julian","Motorcade","Bus #1",,,"No timing info.","The Telegraph","2013","3","3","3",,,"0","0",,,,"0","0","0"
"Ready","John","Motorcade","Secret Service #1",,,"Just one shot mentioned. No timing info.","18H749","1964","1","1","1",,,"0","0",,,,"0","0","0"
"Reed","Carol","Elm Street","Grassy Knoll",,,"No number of shots mentioned","22H668","1964",,,,,,"0","0",,,,"0","0","0"
"Reed","Martha","Elm Street","Dal-Tex",,,"No shot info.","22H669","1964",,,,,,"0","0",,,,"0","0","0"
"Reese","Madie","TSBD","Steps",,,"No timing info.","CD5, 22H669","1963","3","3","3",,,"0","0",,,,"0","0","0"
"Reid","Jeraldean","Elm Street","TSBD",,,"No timing info.","24H223, CD5, 3H273","1963","3","3","3",,,"0","0",,,,"0","0","0"
"Reid","Robert","Criminal Courts","Floor 2",,,"No timing info.","24H532","1964","3","3","3",,,"0","0",,,,"0","0","0"
"Reilly","Frank","Bridge","Elm Street",,,"No timing info.","CD205","1963","3","3","3",,,"0","0",,,,"0","0","0"
"Rice Brogan","Mary","Motorcade","Bus #2",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Rich","Joe","Motorcade","Secret Service #2",,"End","1st shot as car entered Elm Street. At least 3 shots, maybe more.","18H800","1963","3","3","3",,,"0","100","1","2","0","50","1","75"
"Richardson","Barbara","Motorcade","Bus #1",,,"No witness data.","Fort Worth Star Telegram 1963-11-23","1963",,,,,,"0","0",,,,"0","0","0"
"Richey","Bonnie","Elm Street","TSBD",,,"No shot info.","22H671","1964",,,,,,"0","0",,,,"0","0","0"
"Rickerby","Arthur","Motorcade","Camera Car #2","P 0-2",,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Riggs","Robert","Motorcade","Bus #?",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Roberts","Charles","Motorcade","Bus #1",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Roberts","Emory","Motorcade","Secret Service #1",,"End","JFK leaned to his wife after 1st shot. 2nd or 3rd shot hit JFK's head.","18H739 & 18H734","1963","2","3","2.5",,,"0","100","1","2","0","100","1","100"
"Roberts","Ray","Motorcade","Mayor's Car",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Rogers","Walter","Motorcade","Congressman #1",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Romack","James Elbert","Houston Street","Ross Street",,"None","3-4 seconds apart, evenly spaced. No other timing of first or last shots.","6H280","1964","3","3","3","6","8","7","50","1","1","1","50","0","50"
"Roth","Robert","Motorcade","Bus #?",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Rowland","Arnold","Houston Street","Criminal Courts",,"End","8 secs between 1&2, 3 secs between 2&3. No timing for start or finish.","19H494","1963","3","3","3","11","11","11","50","1","1.5","0.5","50","1","50"
"Rowland","Barbara","Houston Street","Criminal Courts",,"End","A few seconds between each shot, with the 3rd closer to the 2nd than the 1st to 2nd. No timing of first or last shots.","19H493, 26H168, 6H184","1964","3","3","3",,,"0","50","1","1.5","0.5","50","1","50"
"Rozumalski","Ted","Motorcade","Bus #?",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Ryan","Cleveland","Motorcade","Camera Car #1",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Sanders","Pauline","TSBD","Steps",,,"No timing info.","22H844, 22H672","1963","3","3","3",,,"0","0",,,,"0","0","0"
"Schultz","Jack","Motorcade","Bus #?",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Senkle","William L","Motorcade","Pilot Car",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Sharper","William","Main Street","Houston Street",,,"Several shots. No timing info.","FBI Oswald File, Sec. 83, p43","1964",,,,,,"0","0",,,,"0","0","0"
"Shelley","William","TSBD","Steps",,"End","Shots 2/3 slightly closer than 1/2. No timings.","24H226, 6H329","1963","3","3","3",,,"0","0",,,,"0","0","0"
"Shelton","Keith","Motorcade","Bus #?",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Shields","Edward","Elm Street","Mullendone's Cafeteria",,"End","120 or 012 - ""I heard one shot and then a pause and then this repetition--two shots right behind the other""","7H394","1964","3","3","3",,,"0","50","0.5","1.5","0.5","50","1","50"
"Sidey","Hugh","Motorcade","Bus #1",,,"No timing info.","Article in Time Magazine, 11-28-88","1988","3","3","3",,,"0","0",,,,"0","0","0"
"Sills","Thomas","Elm Street","Houston Street",,,"No timing info.","Sixth Floor Museum","2008","2","3","2.5",,,"0","0",,,,"0","0","0"
"Silverman","Alvin","Motorcade","Bus #?",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Simmons","James","Bridge","Elm Street",,,"No timing info.","22H833","1964","3","3","3",,,"0","0",,,,"0","0","0"
"Simmons","Sharon","Elm Street","Grassy Knoll",,,"No shot info.","22H665","1964",,,,,,"0","0",,,,"0","0","0"
"Sitzman","Marilyn","Grassy Knoll","Pergola",,"None","1st shot hit JFK, 2nd was head shot. Mentioned a possible third shot in a 1993 Sixth Floor Museum interview","Dallas Times-Herald, 1966 interview with Josiah Thompson","1963","2","3","2.5",,,"0","100","1","1","0.5","50","0","75"
"Skaggs","Jay","Main Street","Houston Street","P 4-6",,"No timing info.","Sixth Floor Museum","2002","3","3","3",,,"0","0",,,,"0","0","0"
"Skelton","Royce","Bridge","Elm Street",,"Start","Limo had just cleared the turn when 2 shots were fired. 1st and last shot seemed to involve dust flying up from the road.","6H237","1964","4","4","4",,,"0","100","2","1","1","50","1","75"
"Slack","Garland","Houston Street","Criminal Courts",,,"The crowd panicked after the 2nd shot. No other timing info.","19H495","1963","2","3","2.5",,,"0","0",,,,"0","0","0"
"Smart","R","Motorcade","Rear Mid Motorcycles",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
